ID_REF,mean_PE,mean_Control,t,pval,pval_mwu,log2FC,padj,padj_mwu,neg_log10_padj,symbol,probe_start
ILMN_1721833,7.955404228898379,7.468005863258254,12.049821245150959,5.618146158783479e-08,0.0014600619162422476,0.48739836564012506,0.0011012128285831496,0.08730688948080557,2.958128737933974,IER5,1886.0
ILMN_1770290,7.8986464587572165,8.905343435555272,-10.36423196313731,1.2788432960355434e-07,0.0014600619162422476,-1.0066969767980556,0.0012533303722796344,0.08730688948080557,2.9019344358325343,CNN2,2203.0
ILMN_1718769,8.491200109158218,9.171664349421679,-9.543101270730643,3.2586798120447357e-07,0.0014600619162422476,-0.6804642402634613,0.0021291127665296287,0.08730688948080557,2.6718013359385635,ITSN1,5225.0
ILMN_1710000,6.965924848759056,7.387293205526258,-9.486043739931619,6.902587705212731e-07,0.0014600619162422476,-0.42136835676720175,0.003199892728031589,0.08730688948080557,2.4948645805566025,PEX11G,987.0
ILMN_1727098,7.098185205981302,6.690936021775657,8.949394448165544,8.639383052352018e-07,0.0014600619162422476,0.4072491842056456,0.003199892728031589,0.08730688948080557,2.4948645805566025,PPP1R16B,6055.0
ILMN_2216637,6.688916168767287,7.048674349917092,-9.671643553801415,9.795090234268423e-07,0.0014600619162422476,-0.35975818114980473,0.003199892728031589,0.08730688948080557,2.4948645805566025,STK32B,3105.0
ILMN_1654773,6.978498888788005,7.594318399828345,-8.898601089304867,2.0954536410130485e-06,0.0014600619162422476,-0.6158195110403399,0.00586756954535668,0.08730688948080557,2.231541754224358,CASK,2836.0
ILMN_1772506,7.710370976514176,8.21956017848548,-7.681491037162505,3.5628004468338185e-06,0.0014600619162422476,-0.5091892019713038,0.007759383506487742,0.08730688948080557,2.1101727826550025,ATP5I,15.0
ILMN_1670490,9.50177063925746,11.254371192775952,-7.7806026460056845,3.3851327323260155e-06,0.0014600619162422476,-1.7526005535184925,0.007759383506487742,0.08730688948080557,2.1101727826550025,PDPN,2530.0
ILMN_1651282,9.53194308019082,7.00832931122209,8.867696652761861,5.56005915963866e-06,0.0014600619162422476,2.5236137689687297,0.008005481002081778,0.08730688948080557,2.096612568769779,COL17A1,5426.0
ILMN_1772612,7.950926244938897,9.282589021015706,-7.114605840109649,8.498189127864022e-06,0.0014600619162422476,-1.3316627760768096,0.008005481002081778,0.08730688948080557,2.096612568769779,ANGPTL2,3380.0
ILMN_1655429,8.932086293977207,8.354034332116456,7.322786824098285,5.9265163008141615e-06,0.0014600619162422476,0.5780519618607514,0.008005481002081778,0.08730688948080557,2.096612568769779,TNFAIP1,3079.0
ILMN_1811468,7.369202972162056,8.460521130782492,-8.02166961616739,7.59257802401223e-06,0.0014600619162422476,-1.0913181586204361,0.008005481002081778,0.08730688948080557,2.096612568769779,IRX3,1874.0
ILMN_3239531,6.710996821359442,7.091142875738796,-8.419060890183523,4.131597287427705e-06,0.0014600619162422476,-0.38014605437935334,0.008005481002081778,0.08730688948080557,2.096612568769779,C4orf48,211.0
ILMN_1719986,7.980056428845245,8.433839103274014,-7.432544861673091,5.246464235515542e-06,0.0014600619162422476,-0.4537826744287692,0.008005481002081778,0.08730688948080557,2.096612568769779,PIK3IP1,2154.0
ILMN_3178043,6.97298894052377,6.677777475489485,7.199558260962675,6.956007781739115e-06,0.0014600619162422476,0.29521146503428497,0.008005481002081778,0.08730688948080557,2.096612568769779,BEND7,1046.0
ILMN_1721046,7.820296722789328,8.389262671568575,-7.0724047507389995,8.57686347858361e-06,0.0021637871288703054,-0.5689659487792476,0.008005481002081778,0.08730688948080557,2.096612568769779,PTMS,917.0
ILMN_2064902,7.033576705983236,7.753880514267105,-7.309074439249292,8.217912924723977e-06,0.0014600619162422476,-0.7203038082838686,0.008005481002081778,0.08730688948080557,2.096612568769779,HAND2,1624.0
